Serial_No,Full_Name,Date_of_Birth,Age,Gender,Weight (kg),Height (cm),Contact_No,Date_of_Previous_Blood_Donation,Date_of_Next_Blood_Donation,Availability,Longitude,Latitude,Address,NIC No,Blood Group,Previous Blood Donated Campaign
Y17/D00898,Herman Suttle,7/17/1996,23,Female,66.25,176.77,710113861,1/20/2020,5/12/2020,Not Available,6.771207,80.16052,"Meepe-Ingiriya Road, Wewila, Western Province, LK",19965068977V,B+,CA/00155
Y17/D00899,Jerold Snavely,3/12/1999,21,Male,99.05,149.2,776372733,2/9/2020,6/1/2020,Available,6.958749,80.051986,"Indolamulla Road, Dompe, Western Province Dompe, LK",19999191309V,B+,CA/00140
Y17/D00900,Samuel Hamner,3/24/1989,31,Male,70.33,173.34,710113861,12/19/2020,4/9/2020,Available,6.758428,80.104304,"Millawa road, Gorokgoda, Western Province, LK",19891742587V,A+,CA/00174
Y17/D00901,Rufus Dole,1/21/1978,42,Female,91.38,155.65,715837482,4/15/2020,8/5/2020,Available,6.888575,79.971738,"Rathnarama Road, Athurugiriya Interchange, Western Province 10118, LK",19787139932V,O+,CA/00147
Y17/D00902,Tobias Vale,12/17/2002,17,Male,103.72,145.28,776712741,2/22/2020,6/14/2020,Available,6.807561,79.922214,"Sirimangala Watta Road, Wewala, Western Province 10300, LK",20022723382V,B+,CA/00161
Y17/D00903,Jimmie Bolding,9/26/1996,23,Male,57.14,184.42,715837482,3/8/2020,6/28/2020,Not Available,6.975905,80.034667,"Delgoda-Pugoda Rd, Mukalana WP, Western Province 11672, LK",19969895021V,O+,CA/00149
Y17/D00904,Erasmo Aubin,7/16/1998,21,Male,103.92,145.11,710113861,3/14/2020,7/4/2020,Available,6.824951,80.087232,"Liyanwala - Poregedara Road, Padukka WP, Western Province 10500, LK",19984544266V,A+,CA/00126
Y17/D00905,Ike Diez,12/26/1986,33,Female,81.45,163.99,776712741,1/8/2020,4/30/2020,Available,6.845487,79.968726,"Sama Mawatha, Malapalla, Western Province 10230, LK",19865313563V,A+,CA/00139
Y17/D00907,Freddy Billy,12/31/1995,24,Male,98.12,149.99,715837482,2/9/2020,6/1/2020,Available,6.82454,80.005594,"Temple Road, Diyagama, Western Province 10320, LK",19956903682V,B+,CA/00154
Y17/D00908,Chester Farlow,9/7/1995,24,Male,92.88,154.39,776712741,4/4/2020,7/25/2020,Available,6.883925,80.009444,"Mullegama Road, Mullegama, Western Province 10200, LK",19956909211V,O+,CA/00136
Y17/D00909,Jaime Johannes,10/26/2000,19,Male,70.87,172.88,715837482,9/3/2020,12/24/2020,Available,6.945486,79.982335,"Yatawatte Road, Bandarawatte Junction, Western Province 11672, LK",20009277685V,A+,CA/00181
Y17/D00911,Waylon Lundeen,11/4/1980,39,Female,96.8,151.1,776712741,5/2/2020,8/22/2020,Available,6.966282,80.169436,"Eswatte Ranwala Road, Puwakpitiya, Western Province 10730, LK",19809564285V,O+,CA/00142
Y17/D00913,Sidney Cullins,11/21/1997,22,Male,63.68,178.92,776712741,3/16/2020,7/6/2020,Available,6.791876,79.874222,"Sea Beach Road, Rawathawatta, Western Province 10400, LK",19977735990V,A+,CA/00148
Y17/D00914,August Lindo,10/18/1980,39,Male,54.29,186.82,710113861,6/28/2020,10/18/2020,Available,6.996805,80.172689,"NIssarana Wanaya Road, Pepiliyawala, Western Province, LK",19804794583V,A+,CA/00134
Y17/D00915,Abel Tweedy,9/25/1996,23,Female,101.54,147.11,776712741,3/29/2020,7/19/2020,Available,6.933781,79.958325,"Weli Para Road, Welivita (WP), Western Province 10115, LK",19969197314V,O+,CA/00152
Y17/D00917,Wilton Cobian,11/14/1978,41,Female,76.62,168.05,710113861,12/23/2020,4/13/2020,Not Available,6.887594,80.145025,"Kaluaggala-Labugama-Kalatuwawa Road, Waga, Western Province, LK",19788754116V,A+,CA/00184
Y17/D00918,Wendell Morais,11/10/1982,37,Male,71.65,172.23,776712741,1/18/2020,5/10/2020,Available,6.948693,79.93831,"Kelaniya-Biyagama Road, , Western Province 11640, LK",19828095820V,B+,CA/00125
Y17/D00920,Darwin Fryman,12/24/1981,38,Female,96.15,151.64,715837482,11/2/2020,2/22/2020,Available,6.774364,79.925771,"Batakettara - Madapatha Road, Batakettara, Western Province 10300, LK",19816037525V,AB+,CA/00192
Y17/D00921,Gayle Longmire,1/31/1976,44,Male,69.9,173.7,715837482,9/6/2020,12/27/2020,Available,6.759993,80.004075,"Weedagama - Gonapola road, Godigamuwa East, Western Province 12404, LK",19768395528V,B+,CA/00194
Y17/D00922,Bradly Addis,5/6/1992,27,Male,72.55,171.47,776712741,1/13/2020,5/5/2020,Available,6.771006,79.960471,"Heraliyawala Road, Polgasowita, Western Province 10320, LK",19922538839V,O+,CA/00146
Y17/D00923,Ron Soltis,7/15/1994,25,Male,60.46,181.63,776712741,7/8/2020,10/28/2020,Available,6.815078,80.126071,"Menerigama Road, Malagala WP, Western Province 10500, LK",19946897525V,AB+,CA/00189
Y17/D00924,Jimmy Sickler,12/22/2001,18,Female,61.63,180.65,776712741,1/27/2020,5/19/2020,Available,6.877238,80.053407,"V Sirisena Perera Road, Nawalamulla, Western Province 10200, LK",20019897490V,O+,CA/00159
Y17/D00925,Rene Rowles,2/23/1998,22,Male,63.99,178.67,776712741,2/20/2020,6/12/2020,Available,6.874685,79.921038,"Dharmaratana Mawatha, Sri Jayawardenapura Kotte, Western Province 10280, LK",19985651136V,AB+,CA/00132
Y17/D00926,Howard Tadlock,3/15/1998,22,Female,108.31,141.42,776712741,12/19/2020,4/9/2020,Available,6.726297,79.909776,"Mahanama Road, Panadura, Western Province 12500, LK",19988101360V,B+,CA/00174
Y17/D00927,Jerrod Canela,2/2/2000,20,Male,74.87,169.52,776372733,8/21/2020,12/11/2020,Available,6.783411,80.012831,"Soyza road, Koralaima, Western Province, LK",20008889618V,A+,CA/00190
Y17/D00928,Shirley Recio,5/31/2001,18,Male,73.25,170.88,710113861,12/4/2020,3/25/2020,Available,6.833875,80.180873,"Labugama Tank, Labugama, Western Province, LK",20014247643V,B+,CA/00187
Y17/D00929,Burt Roemer,6/13/1991,28,Male,64.56,178.19,776712741,8/31/2020,12/21/2020,Available,6.907761,80.181955,"Thummodara-Puwakpitiya Road, Egodagama, Western Province, LK",19913170337V,O+,CA/00177
Y17/D00932,Christopher Benning,7/24/1976,43,Female,105.43,143.84,715837482,2/9/2020,6/1/2020,Available,6.826605,80.002474,"Moragahahena Road, Diyagama, Western Province 10320, LK",19763826621V,AB+,CA/00154
Y17/D00933,Fabian Trainer,11/15/1994,25,Male,57.64,184,710113861,9/15/2020,1/5/2020,Available,6.812427,79.988154,"Hathalahagoda Road, Diyagama, Western Province 10320, LK",19949804310V,A+,CA/00188
Y17/D00934,Demetrius Ohalloran,9/30/1990,29,Male,99.72,148.64,710113861,10/21/2020,2/10/2020,Available,6.898016,80.035326,"Nelum Place, Jalthara, Western Province 10200, LK",19902917955V,B+,CA/00191
Y17/D00935,Hans Riker,8/19/1988,31,Female,99.35,148.95,776372733,6/10/2020,9/30/2020,Available,6.940175,80.019132,"Hanwella - Malwana Road, Karabugas Junction, Western Province Dompe, LK",19887370888V,B+,CA/00165
Y17/D00936,Taylor Blanc,11/13/1983,36,Female,88.59,157.99,715837482,4/7/2020,7/28/2020,Available,6.856132,80.048109,"Mahabodhi Chile Development Center, Naduhena Junction, Western Province 10200, LK",19838634225V,B+,CA/00167
Y17/D00938,Johnny Berens,7/20/2002,17,Male,87.47,158.94,710113861,4/17/2020,8/7/2020,Available,6.901365,80.049627,"Panagoda-Ambulgama Road, Jalthara, Western Province 10200, LK",20024274570V,AB+,CA/00166
Y17/D00939,Eli Hoekstra,11/8/1995,24,Male,71.47,172.38,715837482,5/2/2020,8/22/2020,Available,6.782596,79.993187,"Colombo - Horana Road, Palannoruwa, Western Province 12404, LK",19955543437V,B+,CA/00142
Y17/D00940,Vincent Kempton,2/8/1999,21,Female,104.01,145.03,776712741,7/18/2020,11/7/2020,Available,6.956843,80.196425,"Penrith Estate Road, Kiriwandala South, Western Province, LK",19991220853V,O+,CA/00175
Y17/D00941,Matt Pecoraro,2/9/1987,33,Male,90.62,156.29,776372733,4/15/2020,8/5/2020,Available,6.845147,80.030086,"Godagamawatte Road, Godagama Junction, Western Province 10200, LK",19877460008V,B+,CA/00147
Y17/D00942,Sammie Esh,7/13/1987,32,Male,58.27,183.47,776372733,3/2/2020,6/22/2020,Available,6.793341,80.06741,"Madulawa road, , Western Province 10500, LK",19875107722V,AB+,CA/00138
Y17/D00943,Graham Montalbano,2/22/1975,45,Male,73.85,170.38,715837482,5/16/2020,9/5/2020,Available,6.770105,80.039853,"Kumbuka Watte Road, Thalagala South, Western Province 12404, LK",19759811783V,B+,CA/00172
Y17/D00945,Enrique Frederickson,7/7/1994,25,Male,62.06,180.29,710113861,5/4/2020,8/24/2020,Available,6.885293,80.086962,"High Level Road, Meepe, Western Province 10500, LK",19943418657V,O+,CA/00123
Y17/D00947,Napoleon Yaeger,4/9/1997,23,Male,86.27,159.94,776372733,4/3/2020,7/24/2020,Available,6.914881,80.187092,"Thummodara-Puwakpitiya Road, Egodagama, Western Province, LK",19972363827V,A+,CA/00141
Y17/D00948,Chauncey Haviland,3/5/1979,41,Male,88.18,158.34,776712741,4/22/2020,8/12/2020,Available,6.923096,80.187683,"Thummodara-Puwakpitiya Road, Egodagama, Western Province, LK",19795689126V,B+,CA/00163
Y17/D00949,Sean Nice,7/15/1988,31,Female,86.54,159.71,776372733,11/28/2020,3/19/2020,Available,6.902681,79.850683,"11th Lane, Colombo, Western Province 00300, LK",19881621269V,A+,CA/00173
Y17/D00950,Alec Castello,11/1/1979,40,Male,93.8,153.61,776712741,11/12/2020,3/3/2020,Available,6.842922,80.140485,"Siyambalawa Road, Thummodara, Western Province 10500, LK",19799522071V,A+,CA/00179
Y17/D00951,Lawrence Polo,7/17/1986,33,Male,74.32,169.98,710113861,9/3/2020,12/24/2020,Available,6.869172,80.007749,"Srilalankara Mawatha, Habarakada, Western Province 10200, LK",19861726651V,B+,CA/00181
Y17/D00952,Wade Brockington,7/28/1995,24,Male,105.94,143.41,710113861,11/2/2020,2/22/2020,Available,6.8457,80.009434,"Denzil Kobbakaduwa Road-Homagama, Pitipana Junction, Western Province 10200, LK",19953533149V,O+,CA/00185
Y17/D00957,Elvin Partee,5/31/1986,33,Female,82.59,163.03,715837482,1/20/2020,5/12/2020,Available,6.921507,79.992851,"Ulumola Road, Korathota, Western Province 10150, LK",19869241888V,A+,CA/00151
Y17/D00959,Aldo Courville,11/4/1978,41,Male,92.6,154.62,776712741,6/26/2020,10/16/2020,Available,6.832315,79.991532,"Shasanawardana Road, Hospital Junction, Western Province 10320, LK",19787992393V,O+,CA/00124
Y17/D00960,Alexis Heater,3/4/1997,23,Male,96.65,151.22,776372733,10/25/2020,2/14/2020,Available,6.958999,80.224387,"Avissawella-Kegalla Road, Thimbiripola, Sabaragamuwa Province, LK",19975928577V,AB+,CA/00193
Y17/D00961,Ed Borjas,11/7/1998,21,Female,95.36,152.3,715837482,3/3/2020,6/23/2020,Available,6.92957,80.216737,"Avissawella - Ratnapura Road, Meennana, Sabaragamuwa Province, LK",19987433890V,O+,CA/00131
Y17/D00962,Quinton Bethune,3/2/2000,20,Female,75.69,168.84,776712741,4/12/2020,8/2/2020,Available,6.804719,79.894126,"Sri Rahula mawatha, Golumadama Junction, Western Province 10400, LK",20006498976V,O+,CA/00164
Y17/D00963,Edmundo Bukowski,10/9/1980,39,Male,92.08,155.06,776372733,3/16/2020,7/6/2020,Available,6.869442,80.015324,"Sri Shilaanthayathana Purana Viharaya, Dadigamuwa, Western Province 10200, LK",19808755199V,A+,CA/00148
Y17/D00964,Nickolas Shoaf,2/14/1994,26,Male,102.5,146.3,776372733,4/11/2020,8/1/2020,Available,6.917556,79.846705,"22nd Lane, Colombo, Western Province 00300, LK",19941754552V,O+,CA/00156
Y17/D00965,Kieth Privett,3/14/1977,43,Male,65.41,177.47,710113861,6/15/2020,10/5/2020,Available,6.842851,80.164324,"Ihala Bope-Labugama Road, Labugama, Western Province, LK",19778416931V,O+,CA/00137
Y17/D00967,Don Mckown,7/21/1975,44,Male,81.09,164.29,776372733,7/6/2020,10/26/2020,Available,6.949068,79.856477,"Wharf Road, Colombo, Western Province 01200, LK",19759388777V,B+,CA/00183
Y17/D00968,Olen Amoroso,9/7/2002,17,Male,98.55,149.62,710113861,2/28/2020,6/20/2020,Available,6.93486,79.994396,"Colombo-Hanwella Low Level Road, Siyambalagas Junction, Western Province, LK",20029360099V,B+,CA/00127
Y17/D00969,Cameron Misner,12/4/1995,24,Female,58.9,182.94,715837482,1/1/2020,4/23/2020,Available,6.73363,79.928897,"Hirana Road, Panadura, Western Province 12500, LK",19959400657V,A+,CA/00150
Y17/D00970,Genaro Reinhold,7/19/1982,37,Male,102.06,146.67,776372733,10/29/2020,2/18/2020,Available,6.751683,79.899981,"Galle Road, Panadura, Western Province 12500, LK",19828448566V,A+,CA/00197
Y17/D00971,Harris Lasky,10/22/1979,40,Male,92.56,154.66,710113861,1/6/2020,4/28/2020,Available,6.876015,80.062721,"Artigala Road, Nawalamulla, Western Province 10200, LK",19799580952V,A+,CA/00133
Y17/D00974,Burton Schuetz,8/2/1995,24,Male,56.4,185.04,776372733,4/14/2020,8/4/2020,Available,6.740305,79.91564,"Gamunu Mawatha, Panadura, Western Province 12500, LK",19959392735V,A+,CA/00145
Y17/D00975,Jefferey Vallejos,6/18/1980,39,Female,92.82,154.44,710113861,3/13/2020,7/3/2020,Available,6.923709,80.063667,"Hanwella - Malwana Road, , Western Province Dompe, LK",19809089368V,AB+,CA/00170
Y17/D00976,Shayne Mcclurg,2/21/1982,38,Male,61.89,180.43,715837482,6/3/2020,9/23/2020,Available,6.919842,79.938242,"Pipe Lane, Sri Jayawardenapura Kotte, Western Province 10115, LK",19829491298V,B+,CA/00158
Y17/D00977,Odell Antone,10/19/2001,18,Female,71.3,172.52,710113861,10/21/2020,2/10/2020,Available,6.943541,79.980686,"Keerthi Mawatha, Bandarawatte Junction, Western Province 11672, LK",20012918184V,O+,CA/00195
Y17/D00978,Garth Bicknell,1/9/1977,43,Male,69.09,174.38,715837482,10/29/2020,2/18/2020,Available,6.78541,80.082754,"Millawa road, Gorokgoda, Western Province, LK",19771453195V,A+,CA/00180
Y17/D00979,Dirk Mathewson,1/23/1982,38,Male,99.56,148.77,776712741,3/17/2020,7/7/2020,Available,6.899171,80.173593,"Thummodara-Puwakpitiya Road, Egodagama, Western Province, LK",19828696776V,A+,CA/00169
Y17/D00980,Elisha Oconner,4/23/1988,31,Male,107.34,142.24,715837482,6/28/2020,10/18/2020,Available,6.775527,80.089912,"Millawa road, Gorokgoda, Western Province, LK",19887055805V,A+,CA/00134
Y17/D00981,Christoper Staab,1/11/2001,19,Male,52.9,187.99,776712741,5/22/2020,9/11/2020,Available,6.896845,80.057256,"Artigala Road, Nawalamulla, Western Province 10200, LK",20019975266V,B+,CA/00168
Y17/D00982,Randell Harshbarger,9/2/2000,19,Male,63.88,178.75,710113861,4/15/2020,8/5/2020,Available,6.927508,80.137631,"Kadugoda Road, Mawalgama, Western Province 10730, LK",20009423428V,O+,CA/00143
Y17/D00983,Dylan Slusser,8/9/1977,42,Female,103.28,145.65,776712741,5/18/2020,9/7/2020,Available,6.958418,80.120831,"Boalugoda - Akaravita Road, Akarawita, Western Province 10730, LK",19779588954V,B+,CA/00157
Y17/D00984,Philip Latour,8/5/1975,44,Male,58.75,183.06,776712741,2/22/2020,6/14/2020,Available,6.849178,80.010924,"Wimana Road, Pitipana Junction, Western Province 10200, LK",19755552528V,B+,CA/00161
Y17/D00985,Roderick Rizvi,10/5/2002,17,Male,97.67,150.36,776372733,1/17/2020,5/9/2020,Available,6.737703,79.931008,"Nagas Handiya, Panadura, Western Province 12500,",20025080308V,B+,CA/00153
Y17/D00986,Freddie Haldeman,1/30/1979,41,Female,50.85,189.71,776712741,6/1/2020,9/21/2020,Available,6.860372,79.899649,"Old Kesbawa Road, Nugegoda, Western Province 10250, LK",19793019593V,B+,CA/00171
Y17/D00987,Mack Channell,7/19/1999,20,Female,78.1,166.81,715837482,1/20/2020,5/12/2020,Available,6.939094,80.027033,"Hanwella - Malwana Road, , Western Province Dompe, LK",19999297278V,B+,CA/00155
Y17/D00988,Broderick Motes,6/18/2002,17,Male,70.26,173.4,715837482,10/31/2020,2/20/2020,Available,6.814161,80.176725,"Udagama Road, , Sabaragamuwa Province, LK",20024322197V,B+,CA/00186
Y17/D00989,Connie Creasy,5/2/1989,30,Male,82.28,163.29,776712741,1/30/2020,5/22/2020,Available,6.811205,80.031352,"Delgahakanda Road, Yakahaluwa, Western Province, LK",19892372555V,A+,CA/00128
Y17/D00991,Ned Meisner,9/14/2000,19,Male,56.91,184.62,776712741,3/8/2020,6/28/2020,Available,6.71713,79.927779,"Patalirukkaramaya Road, Panadura, Western Province 12500, LK",20009250774V,A+,CA/00149
Y17/D00992,Gary Railey,10/21/1981,38,Female,67.64,175.6,776712741,2/9/2020,6/1/2020,Available,6.842302,79.989298,"17 Wijaya Mawatha, Hospital Junction, Western Province 10200, LK",19818806445V,AB+,CA/00140
Y17/D00993,Alonzo Michale,1/3/1989,31,Female,85.89,160.26,715837482,4/10/2020,7/31/2020,Available,6.7827,80.143657,"Kirigala Road, Wewila, Western Province, LK",19897305000V,O+,CA/00130
Y17/D00996,Giovanni Jack,5/15/1981,38,Male,100.79,147.74,776372733,2/17/2020,6/9/2020,Available,6.880615,80.062731,"Artigala Road, Nawalamulla, Western Province 10200, LK",19819238283V,B+,CA/00160
Y17/D00997,Deandre Boyd,6/9/1978,41,Male,69.92,173.68,715837482,8/31/2020,12/21/2020,Available,6.952459,80.052572,"Sri Kalyana Ashramaya Temple, Dompe, Western Province Dompe, LK",19787648412V,B+,CA/00182
Y17/D00998,Clemente Carlo,5/13/1977,42,Male,90.73,156.19,776372733,7/13/2020,11/2/2020,Available,6.935651,80.178225,"High Level Road, Kosgama, Western Province 10730, LK",19773466127V,A+,CA/00196
Y17/D00999,Elijah Ezequiel,3/23/1988,32,Female,89.34,157.36,776372733,3/19/2020,7/9/2020,Available,6.93559,80.026931,"Hanwella - Malwana Road, , Western Province Dompe, LK",19888598382V,A+,CA/00144
Y17/D01000,Robin Clark,3/6/1975,45,Female,78.32,166.63,710113861,5/12/2020,9/1/2020,Available,6.736246,79.939622,"Bekkegama Road, Panadura, Western Province 12500, LK",19751565421V,AB+,CA/00129
Y17/D01001,Angel Reyes,12/10/1986,33,Male,82.79,162.86,776372733,1/8/2020,4/30/2020,Available,6.923863,79.926838,"Mulleriyawa Hospital road, Himbutana WP, Western Province 10115, LK",19861914693V,O+,CA/00139
Y17/D01002,Abraham Sonny,3/23/1997,23,Male,71.9,172.02,776712741,5/28/2020,9/17/2020,Available,6.88757,80.088458,"High Level Road, Meepe, Western Province 10500, LK",19978179334V,AB+,CA/00162
Y17/D01003,Damien Domenic,5/17/1997,22,Female,67.33,175.85,710113861,7/30/2020,11/19/2020,Available,6.941743,80.21586,"Manamendra Mawatha, , Western Province, LK",19971942439V,O+,CA/00178
Y17/D01005,Roberto Lucas,5/22/1978,41,Male,77.8,167.06,776372733,5/2/2020,8/22/2020,Available,6.873916,80.060073,"Batawala Road, Nawalamulla, Western Province 10200, LK",19782088421V,AB-,CA/00135
Y17/D01007,Tommy Andrea,7/7/1997,22,Male,94.01,153.43,776712741,4/4/2020,7/25/2020,Available,6.825094,79.985565,"Southern Expressway E01, Brahmanagama, Western Province 10320, LK",19971994985V,A+,CA/00136
Y17/D01008,Rolf Buck,9/19/1995,24,Female,98.6,149.58,710113861,9/8/2020,12/29/2020,Available,6.868952,80.030331,"Samagi Mawatha, Thambili Uyana, Western Province 10200, LK",19957522957V,B+,CA/00176
Y17/D01009,Sterling Federico,10/6/1994,25,Male,68.74,174.67,776372733,3/14/2020,7/4/2020,Available,6.949459,79.878553,"Baseline Road, Colombo, Western Province 00009, LK",19945001354V,AB+,CA/00126
Y17/D01010,Marshall Hosea,6/15/2001,18,Female,83.58,162.2,715837482,3/29/2020,7/19/2020,Available,6.94007,79.92401,"Sri Sumana Mawatha, Angoda, Western Province 09000, LK",20019691761V,A+,CA/00152
Y17/D01011,Julius Bobby,10/8/1990,29,Male,95.94,151.82,776712741,5/4/2020,8/24/2020,Available,6.9656,80.005268,"BEPZ - Block B, Biyagama - WP, Western Province 11672, LK",19904578762V,A+,CA/00123
Y17/D01013,Jarred Van,2/17/2000,20,Male,96.96,150.96,776712741,6/26/2020,10/16/2020,Available,6.914552,79.895321,"Rajagiriya Road, Sri Jayawardenapura Kotte, Western Province 00800, LK",20003631541V,O+,CA/00124
Y17/D01014,Merlin Lewis,11/14/1978,41,Female,89.22,157.47,715837482,1/18/2020,5/10/2020,Available,6.880572,80.010799,"Oruwala Road, Mullegama, Western Province 10200, LK",19784167716V,A+,CA/00125
Y17/D01015,Dane Vance,11/6/1985,34,Male,79.4,165.72,776712741,3/14/2020,7/4/2020,Available,6.849523,80.027078,"Godagamawatte Road, Godagama Junction, Western Province 10200, LK",19857561852V,B+,CA/00126
Y17/D01016,Alexander Brooks,2/26/1991,29,Male,84.63,161.32,776372733,2/28/2020,6/20/2020,Available,6.787902,80.077087,"Galagedara-Horana Road, Kotigamgoda, Western Province, LK",19917711850V,O+,CA/00127
Y17/D01017,Colby Garfield,8/23/1986,33,Male,89.56,157.18,776712741,1/30/2020,5/22/2020,Available,6.863777,80.117737,"Uggalla-Kelimadala, Meepe, Western Province 10500, LK",19869703662V,O+,CA/00128
Y17/D01018,Max Teodoro,9/30/1994,25,Female,107,142.52,710113861,5/12/2020,9/1/2020,Available,6.938815,80.165426,"High Level Road, Kosgama, Western Province 10730, LK",19941375482V,B+,CA/00129
Y17/D01019,Fermin Justin,8/26/1998,21,Female,104.39,144.72,710113861,4/10/2020,7/31/2020,Available,6.876325,79.859004,"Frances Road, Colombo, Western Province 00600, LK",19985550399V,A+,CA/00130
Y17/D01021,Joan Reggie,2/16/1997,23,Male,57.7,183.95,715837482,3/3/2020,6/23/2020,Available,6.772777,80.039185,"Kumbuka Watte Road, Thalagala South, Western Province 12404, LK",19977665154V,O+,CA/00131
Y17/D01022,Pete Brendon,5/3/2001,18,Male,51.29,189.33,710113861,2/20/2020,6/12/2020,Available,6.925873,80.096355,"Kaluaggala-Akarawita Road, , Western Province 10730, LK",20014801173V,O+,CA/00132
Y17/D01024,Orval Dana,6/11/1981,38,Male,93.09,154.21,715837482,1/6/2020,4/28/2020,Available,6.824119,80.05536,"Dampe Purana Temple, Dampe, Western Province, LK",19818486506V,B+,CA/00133
Y17/D01025,Prince Andrew,12/23/1980,39,Male,99.28,149.01,710113861,6/28/2020,10/18/2020,Available,6.843202,80.164892,"Ihala Bope-Labugama Road, Labugama, Western Province, LK",19809839851V,B+,CA/00134
Y17/D01026,Marcos Carl,1/1/1995,25,Male,88.62,157.96,710113861,5/2/2020,8/22/2020,Available,6.861223,80.098879,"Dekaduwala Road, Meepe, Western Province 10500, LK",19957476364V,A+,CA/00135
Y17/D01027,Efren Edmond,8/27/1976,43,Male,83.88,161.95,710113861,4/4/2020,7/25/2020,Available,6.914184,80.059691,"Hanwella - Malwana Road, , Western Province Dompe, LK",19767724790V,A+,CA/00136
Y17/D01028,Thurman Brendan,12/8/1984,35,Male,59.2,182.69,710113861,6/15/2020,10/5/2020,Available,6.954108,80.214983,"Raja Maha Viharaya, Seethawaka, Western Province, LK",19847488263V,O+,CA/00137
Y17/D01030,Bryan Cyril,9/21/2000,19,Male,63.22,179.31,776712741,3/2/2020,6/22/2020,Available,6.842446,80.140863,"Siyambalawa Road, Thummodara, Western Province 10500, LK",20006323172V,A+,CA/00138
Y17/D01033,Osvaldo Rodney,1/27/1995,25,Female,84.62,161.33,776372733,1/8/2020,4/30/2020,Available,6.86648,80.112257,"Uggalla-Pinnawala Road, Waga, Western Province 10500, LK",19958018859V,B+,CA/00139
Y17/D01034,Tyree Jefferson,11/12/1987,32,Female,103.85,145.17,776372733,2/9/2020,6/1/2020,Available,6.77049,80.079592,"Thalgahavila road, Handupelpola, Western Province 12400, LK",19877028828V,A+,CA/00140
Y17/D01035,Ellis Brandon,4/10/1982,38,Female,74.28,170.02,776372733,4/3/2020,7/24/2020,Available,6.876163,79.995891,"Danketiyawatte Road, Athurugiriya, Western Province 10118, LK",19823360871V,O+,CA/00141
Y17/D01036,Stewart Darnell,4/10/1978,42,Male,52.42,188.38,715837482,5/2/2020,8/22/2020,Available,6.790668,80.034471,"Ankuttawala Road, Thalagala, Western Province, LK",19789107280V,B+,CA/00142
Y17/D01038,Lenard Luciano,2/14/1993,27,Male,58.29,183.45,715837482,4/15/2020,8/5/2020,Not Available,6.884747,80.005596,"Kaduwela Athurugiriya Road, Korathota, Western Province 10150, LK",19934355856V,A+,CA/00143
Y17/D01039,Simon Henry,3/2/1998,22,Male,100.52,147.97,715837482,3/19/2020,7/9/2020,Available,6.915005,80.10323,"Kaluaggala-Labugama-Kalatuwawa Road, Brandigampala (WP), Western Province 10730, LK",19981146590V,A+,CA/00144
Y17/D01040,Avery Ernesto,8/14/1990,29,Female,62.25,180.13,710113861,4/14/2020,8/4/2020,Available,6.772183,79.928359,"Batakettara - Madapatha Road, Batakettara, Western Province 10300, LK",19905578341V,B+,CA/00145
Y17/D01043,Rickie Ervin,9/9/1984,35,Male,82.89,162.78,776372733,1/13/2020,5/5/2020,Available,6.966164,79.974115,"Outer Circular Highway E2, Dimo Junction, Western Province 11640, LK",19847587665V,AB+,CA/00146
Y17/D01044,Fred Octavio,2/17/2002,18,Male,78.33,166.62,776372733,4/15/2020,8/5/2020,Available,6.82473,80.011414,"Uduwana-Pansala Handiya Road, Pansal Handiya, Western Province 10200, LK",20021195511V,O+,CA/00147
Y17/D01046,Keith Raul,4/9/1981,39,Male,52.28,188.5,776372733,3/16/2020,7/6/2020,Available,6.886118,80.145402,"Kaluaggala-Labugama-Kalatuwawa Road, Waga, Western Province, LK",19815149517V,B+,CA/00148
Y17/D01047,Mervin Quentin,9/21/1980,39,Male,52.95,187.94,776712741,3/8/2020,6/28/2020,Available,6.986528,79.869198,"Preethipura Road, Hekitta, Western Province 11104, LK",19807907361V,A+,CA/00149
Y17/D01048,Wilbert Lindsay,3/27/2002,18,Male,104.73,144.43,710113861,1/1/2020,4/23/2020,Available,6.858169,79.860374,"Sun Set, Dehiwala, Western Province 00600, LK",20022113083V,O+,CA/00150
Y17/D01049,Chadwick Rubin,10/23/1988,31,Female,108.78,141.03,715837482,1/20/2020,5/12/2020,Available,6.881043,80.189917,"Pagnangula Road, Hewainna, Sabaragamuwa Province, LK",19889041351V,O+,CA/00151
Y17/D01050,Jamal Milford,2/2/1996,24,Male,106.84,142.65,710113861,3/29/2020,7/19/2020,Available,6.912694,80.088962,"Kurulu Uyana, Hanwella, Western Province, LK",19966974112V,AB+,CA/00152
Y17/D01051,Ignacio Arthur,8/4/1996,23,Male,56.58,184.89,776372733,1/17/2020,5/9/2020,Available,6.943013,80.141959,"High Level Road, Kosgama, Western Province 10730, LK",19963189300V,A+,CA/00153
Y17/D01052,Ashley Armando,1/3/1978,42,Male,56.48,184.98,715837482,2/9/2020,6/1/2020,Available,6.881613,79.872081,"Temple Road, Colombo, Western Province 00500, LK",19786706506V,A+,CA/00154
Y17/D01053,Jesus Ryan,3/9/1996,24,Male,107.64,141.99,776372733,1/20/2020,5/12/2020,Available,6.741787,79.906972,"St. Joseph's Church, Panadura, Western Province 12500, LK",19965291638V,AB+,CA/00155
